k pattern_length text_len alphabet_size patterns average_active_states states_with_error
1 20 100 12 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0] {"0":[9,92],"1":[0,12]} [0,12,9]
1 20 100 12 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1] {"0":[17,84],"1":[3,18],"2":[0,4]} [3,26,19]
1 20 100 12 1 [0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0] {"0":[11,90],"1":[3,15],"2":[0,4]} [3,22,14]
2 20 100 12 1 [1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,1,3,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,3,4,2,2,0,1,1,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,2,3,1,1,0,0,1,1,0] {"0":[24,77],"1":[9,38],"2":[3,13],"3":[0,5]} [12,68,36]
2 20 100 12 1 [0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,2,0,1,1,0,0,1,3,4,2,2,4,3,1,0,1,2,1,0,0,1,1,3,2] {"0":[17,84],"1":[9,29],"2":[1,16],"3":[0,1]} [10,58,25]
2 20 100 12 1 [0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,2,1,3,2,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,1,3,1,1,0,0,0,1,0,0,1,3,3,2,2,0,0,0,0,1,0,0,0] {"0":[25,76],"1":[4,43],"2":[3,5],"3":[0,5]} [7,60,32]
3 20 100 12 1 [1,1,2,1,0,0,1,1,1,1,2,2,2,4,5,3,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,2,4,3,4,3,3,4,6,3,3,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,1,1,1,0,0,1,1,1,1,2,0,0,1,1,1,3,2,2,1,0,1,1,1,3,3,5,5,9,7,3] {"0":[33,68],"1":[17,67],"2":[6,35],"3":[3,5],"4":[2,1],"5":[0,2]} [28,141,58]
3 20 100 12 1 [0,1,2,2,5,9,5,1,1,0,0,0,1,2,1,1,0,0,1,1,1,3,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,3,4,5,4,1,1,1,2,3,4,4,6,4,4,1,1,1,3,6,5,3,3,1,1,2,2,1,2,1,1,0,0,1,2,1,0,0,1,1,1] {"0":[31,70],"1":[19,58],"2":[6,33],"3":[4,11],"4":[0,8]} [29,140,59]
3 20 100 12 1 [0,0,0,0,0,1,0,0,1,1,2,3,4,3,7,6,4,3,3,6,6,5,1,0,0,1,3,6,5,3,1,0,0,0,0,0,0,1,0,0,1,2,2,4,5,5,3,2,1,2,2,3,2,1,0,0,0,0,1,1,2,2,1,1,1,1,0,0,1,3,3,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0] {"0":[25,76],"1":[20,51],"2":[7,49],"3":[0,16]} [27,143,52]
1 20 100 18 1 [0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0] {"0":[14,87],"1":[1,18],"2":[0,2]} [1,21,15]
